stock_id,stock_name,stock_price
601718,际华集团,3.50
601727,上海电气,4.78
601766,中国中车,2.18
601777,力帆股份,14.50
601788,光大证券,21.08
601789,宁波建工,6.39
601798,ST蓝科,11.00
601799,星宇股份,21.24
601800,中国交建,5.40
601801,皖新传媒,11.80
601808,中海油服,13.48
601811,新华文轩,7.12
601818,光大银行,3.10
601828,美凯龙,10.23
601838,成都银行,6.99
601857,中国石油,16.70
601858,中国科传,6.84
601860,紫金银行,3.14
601865,福莱特,2.00
601866,中远海发,6.62
601869,长飞光纤,26.71
601872,招商轮船,3.71
601877,正泰电器,23.98
601878,浙商证券,8.45
601880,大连港,3.80
601881,中国银河,6.81
601882,海天精工,1.50
601886,江河集团,20.00
601888,中国国旅,11.78
601890,亚星锚链,22.50
601898,中煤能源,16.83
601899,紫金矿业,7.13
601900,南方传媒,6.13
601901,方正证券,3.90
601908,京运通,42.00
601918,新集能源,5.88
601919,中远海控,8.48
601928,凤凰传媒,8.80
601929,吉视传媒,7.00
601933,永辉超市,23.98
601939,建设银行,6.45
601949,中国出版,3.34
601952,苏垦农发,9.32
601958,金钼股份,16.57
601965,中国汽研,8.20
601966,玲珑轮胎,12.98
601968,宝钢包装,3.08
601969,海南矿业,10.34
601975,招商南油,6.05
601985,中国核电,3.39
601988,中国银行,3.08
601989,中国重工,7.38
601990,南京证券,3.79
601991,大唐发电,6.68
601992,金隅集团,9.00
601996,丰林集团,14.00
601997,贵阳银行,8.49
601998,中信银行,5.80
601999,出版传媒,4.64
603000,人民网,20.00
603001,奥康国际,25.50
603002,宏昌电子,3.60
603003,龙宇燃油,6.50
603005,晶方科技,19.16
603006,联明股份,9.93
603007,花王股份,11.66
603008,喜临门,12.50
603009,北特科技,7.01
603010,万盛股份,11.70
603011,合锻智能,4.26
603012,创力集团,13.56
603013,亚普股份,11.67
603015,弘讯科技,10.60
603016,新宏泰,8.49
603017,中衡设计,29.97
603018,中设集团,32.26
603019,中科曙光,5.29
603020,爱普股份,20.47
603021,山东华鹏,8.73
603022,新通联,14.31
603023,威帝股份,13.25
603025,大豪科技,11.17
603026,石大胜华,6.51
603027,千禾味业,9.19
603028,赛福天,4.26
603029,天鹅股份,8.93
603030,全筑股份,9.85
603031,安德利,11.71
603032,德新交运,5.81
603033,三维股份,17.55
603035,常熟汽饰,10.44
603036,如通股份,6.84
603037,凯众股份,16.01
603038,华立股份,23.26
603039,泛微网络,14.90
603040,新坐标,16.44
603041,美思德,12.92
603042,华脉科技,11.26
603043,广州酒家,13.18
603045,福达合金,9.65
603050,科林电气,10.29
603055,台华新材,9.21
603056,德邦股份,4.84
603058,永吉股份,4.76
603059,倍加洁,24.07
603060,国检集团,10.04
603063,禾望电气,13.36
603066,音飞储存,12.43
603067,振华股份,6.13
603068,博通集成,18.63
603069,海汽集团,3.82
603076,乐惠国际,19.71
603077,和邦生物,17.50
603078,江化微,24.18
603079,圣达生物,15.09
603080,新疆火炬,13.60
603081,大丰实业,10.42
603083,剑桥科技,15.05
603085,天成自控,7.27
603086,先达股份,17.64
603088,宁波精达,8.57
603089,正裕工业,11.63
603090,宏盛股份,8.47
603093,南华期货,4.84
603096,新经典,21.55
603098,森特股份,9.18
603099,长白山,4.54
603100,川仪股份,6.72
603101,汇嘉时代,8.81
603103,横店影视,15.45
603105,芯能科技,4.83
603106,恒银金融,10.75
603108,润达医疗,17.00
603110,东方材料,13.04
603111,康尼机电,6.89
603113,金能科技,13.37
603115,海星股份,10.18
603116,红蜻蜓,17.70
603117,万林物流,5.93
603118,共进股份,11.95
603121,华培动力,11.79
