stock_id,share_holder_company
600086,易方达基金-农业银行-易方达中证金融资产管理计划
600086,大成基金-农业银行-大成中证金融资产管理计划
600086,嘉实基金-农业银行-嘉实中证金融资产管理计划
600088,中央电视台无锡太湖影视城
600088,中央汇金资产管理有限责任公司
600088,中国国际电视总公司
600088,北京中电高科技电视发展有限公司
600088,北京未来广告有限公司
600088,董小琳
600088,中国建设银行股份有限公司-博时互联网主题灵活配置混合型证券投资基金
600088,舒欣枝
600088,中国建设银行股份有限公司-博时回报灵活配置混合型证券投资基金
600088,中国建设银行股份有限公司-博时特许价值混合型证券投资基金
600089,新疆特变电工集团有限公司
600089,新疆宏联创业投资有限公司
600089,中国证券金融股份有限公司
600089,中央汇金资产管理有限责任公司
600089,博时基金-农业银行-博时中证金融资产管理计划
600089,易方达基金-农业银行-易方达中证金融资产管理计划
600089,大成基金-农业银行-大成中证金融资产管理计划
600089,嘉实基金-农业银行-嘉实中证金融资产管理计划
