stock_id,chief_name
603288,庞康
603289,郑建国
603297,曹其东
603298,赵礼敏
603299,吴旭峰
603300,胡丹锋
603301,鲁建国
603303,倪强
603305,徐旭东
603306,张初全
603308,杜应流
603309,向彬
603311,丁宏广
603313,倪张根
603315,穆建华
603316,方利强
603317,邓文
603318,尚智勇
603319,许仲秋
603320,吴建荣
603321,钱雪林
603322,梁建华
603323,魏礼亚
603326,NINA YANTI MIAO(缪妍缇)
603327,张景忠
603328,李永强
603329,孙望平
603330,李哲龙
603331,施小友
603332,席文杰
603333,李广胜
603335,赵瑞贞
603336,黄俊辉
603337,赵新庆
603338,许树根
603339,黄杰
603345,刘鸣鸣
603348,唐杰雄
603351,吴仁荣
603355,倪祖根
603356,黄业华
603357,王吉双
603358,陈竞宏
603359,席惠明
603360,刘宪武
603363,吴有林
603365,李裕陆
603366,徐新建
603367,杜振新
603368,朱朝阳
603369,周素明
603377,徐雄
603378,李金钟
603379,胡淇翔
603380,钱新栋
603383,严孟宇
603385,王惠文
603386,叶晓彬
603387,苏恩本
603388,祝昌人
603389,高伟
603393,明再远
603396,李义升
603398,吴锭辉
603399,沈杰
603416,李新
603421,王建华
603429,徐善水
603444,卢竑岩
603456,花莉蓉
603458,张林
603466,辛浩鹰(代)
603477,贺正刚
603486,钱东奇
603488,金培荣
603489,王清华
603496,沈振宇
603499,董建军
603500,汤友钱
603501,虞仁荣
603505,王锦华
603506,韩芳
603507,胡震
603508,李欣
603515,王耀海
603516,何仕达
603517,戴文军
603518,王致勤
603519,卢凤仙
603520,胡锦生
603527,封全虎
603528,章安强
603530,马斌
603533,成湘均
603535,段容文
603536,惠增玉
603538,姚成志
603555,林天福
603556,周良璋
603557,章利民
603558,张茂义
603559,王世超
603566,张许科
603567,方同华
603568,项光明
603569,薄世久
603577,刘凯
603578,杨敏
603579,林光荣
603580,涂木林
603583,胡仁昌
603585,缪金凤
603586,孙忠义
603587,马瑞敏
603588,李卫国
603589,徐进
603590,王锡娟
603595,沈新芳
603596,袁永彬
603598,罗衍记
603599,黄金祥
603600,张加勇
603601,郭茂
603602,苏维锋
603603,赵笠钧
603605,侯军呈
603606,夏崇耀
603607,孙建成
603608,李林
603609,金卫东
603610,唐国海
603611,丁毅
603612,郎光辉
603613,刘泉
603615,陈葵生
603616,田玉波
603617,张阿华
603618,华建飞
603619,李春第
603626,徐金根
603628,Hong Daniel
603629,邵树伟
603630,吴桂谦
603633,朱新爱
603636,吴志雄
603637,赵立渭
603638,宋飞
603639,葛尧伦
603648,尹强
603650,Zhang Ning
603655,戚建国
603656,许大红
603657,陈正明
603658,苗拥军
603659,梁丰
603660,陈冬根
603661,王江林
603662,柯建东
603663,夏鹏
603665,张间芳
603666,朱付云
603667,张峰
603668,陈庆堂
603669,陶灵萍
603676,张勇
603677,汪伟东
603678,蔡明通
603679,梁熹
603680,俞金坤
603681,吕新民
603683,周晓南
603685,何文健
603686,张桂丰
603687,方能斌
603688,陈士斌
603689,贾化斌
603690,蒋渊
603693,徐国群
603696,林肖芳
603697,鹿有忠
603698,唐国宏
603699,王保庆
603700,张琳
603701,张宁
603703,叶利明
603706,李明
603707,唐咏群
603708,王培桓
603709,曹勇
603711,蒋建琪
603712,王宝
603713,陈银河
603716,温伟
603717,罗卫国
603718,张海明
603721,曾雄
603722,朱学军
603725,吴启超
603726,高炎康
603727,彭文成
603728,常建鸣
603729,余亦坤
603730,姜银台
603733,王敏良
603737,洪杰
603738,喻信东
603739,黄炳亮
603755,张华君
603757,韩元富
603758,YUANMING TANG
603766,高勇
603767,吴江
603768,吴应宏
603773,易伟华
603776,孙继胜
603777,施永雷
603778,回全福
603779,王珍海
603786,柯桂华
603787,张崇舜
603788,钱高法
603789,章沈强
603790,谢兵
603797,黄建勲
603798,朱振华
603799,陈雪华
603800,舒志高
603801,孙志勇
603803,高磊
603806,林建华
603808,夏国新
603809,向朝东
603810,殷凤山
603811,颜贻意
603813,余军
603815,胡先宽
603816,顾江生
603817,陈宏景
603818,赵瑞海
603819,陈忠渭
603822,沈健
603823,陈立荣
603825,苏同
603826,谢秉昆
603828,顾益明
603829,谈行
603833,姚良松
603838,蔡镇城
603839,郑安政
603843,金生光
603848,沈汉标
603855,胡志荣
603856,倪立营
603858,赵涛
603859,祖军
603860,潘玉利
603861,胡德兆
603863,王壮鹏
603866,吴学亮
603867,胡健
603868,李丐腾
603869,王子峥
603871,韩景华
603876,周贤海
603877,张江平
603878,朱国良
603879,傅文昌
603880,李平
603881,罗岚
603882,梁耀铭
603883,谢子龙
603885,王均金
603886,张秀琬
603887,谢晓东
603888,田舒斌
603889,沈建华
603890,薛革文
603895,荣俊林
603896,李明焱
603897,顾林祥
603898,沈汉标
603899,陈湖文
603900,沈东军
603901,罗邦毅
603903,许国栋
603906,石俊峰
603908,陆暾华
603909,黄和宾
603912,何根林
603915,徐国忠
603916,缪昌文
603917,施良才
603918,金史平
603919,周志刚
603920,佘英杰
603922,洪建沧
603926,国宁
603927,左春
603928,王进兴
603929,姚祖骧
603933,杨维坚
603936,徐缓
603937,蔡征国
603938,孙任靖
603939,高毅
603955,栾剑洪
603956,李纪玺
603958,陈玉珍
603959,王海荣
603960,谈士力
603963,杨君祥
603966,金红萍
603967,李松青
603968,庆九
603969,谢铁桥
603970,苏毅
603976,邓勇
603977,熊旭晴
603978,陈学敏
603979,王先成
603980,邵伯金
603982,潘龙泉
603983,孙怀庆
603985,承立新
603986,朱一明
603987,张宪淼
603988,熊小兵
603989,艾立华
603990,翁康
603991,侯海良
603992,周华松
603993,李朝春
603996,陈德松
603997,王义平
603998,张庆华
603999,刘永升
000001,谢永林
000002,郁亮
000004,黄翔
000005,丁芃
000006,赵宏伟
000007,黄立海
000008,王志全
000009,陈政立
000010,陈飞霖
000011,刘声向
000012,陈琳
000014,陈勇
000016,刘凤喜
000017,李海
000018,陈略
000019,祝俊明
000020,李中秋
000021,谭文鋕
000023,林宏润
000025,富春龙
000026,黄勇峰
000027,熊佩锦
000028,刘勇
000029,周建国
000030,张丕杰
000031,周政
000032,宋健
000034,郭为
000035,严圣军
000036,丁跃
000037,李新威
000038,史利军
000039,王宏
000040,卢召义
000042,姚日波
000043,石正林
000045,朱军
000046,卢志强
000048,熊伟
000049,刘其
000050,陈宏良
000055,熊建明
000056,郑康豪
000058,张良
000059,李春建
000060,余刚
000061,何建锋
000062,胡新安
000063,李自学
000065,王一彤
000066,宋黎定
000068,黄俞
000069,段先念
000070,蒋勤俭
000078,张思民
000088,乔宏伟
000089,陈敏生
000090,韩德宏
000096,张桂泉
000099,杨威
000100,李东生
000150,陈奕民
000151,刘艳
000153,何宏满
000155,吕必会
000156,陆政品
000157,詹纯新
000158,肖荣智
000159,丁治平
000166,储晓明
000301,缪汉根
000333,方洪波
000338,谭旭光
000400,张旭升
000401,姜长禄
000402,高靓
000403,黄灵谋
000404,杨秀彪
000407,王鹏
000408,曹邦俊
000409,张宝才
000410,赵彪
000411,姜巨舫
000413,王立鹏
000415,卓逸群
000416,余政
000417,刘浩
000419,周兆达
000420,宋德武
000421,李祥
000422,卞平官
000423,吴峻(代)
000425,王民
000426,吉兴业
000428,蒋利亚
000429,郑任发
000430,戴名清
000488,陈洪国
000498,周新波
000501,陈军
000502,金志峰
000503,贾岩燕
000504,金文泉
000505,李少陵
000506,卢涛
000507,欧辉生
000509,李雪峰
000510,刘江东
000513,朱保国
000514,徐平
000516,史今
000517,王久芳
000518,孙国建
000519,陈建华
000520,肖湘
000521,吴定刚
000523,赵璧秋
000524,陈白羽(代)
000525,杨寿海
000526,吴胜武
000528,曾光安
